name=World Cup Predictor/data/elos.csv
team,elo
Brazil,1820
Colombia,1700
France,1835
England,1800
Argentina,1850
Spain,1840
Morocco,1785
Portugal,1790
Netherlands,1780
Belgium,1760
Mexico,1700
Croatia,1730
Germany,1750
Japan,1650
Ivory Coast,1660
Switzerland,1690
Senegal,1680
Norway,1620
Sweden,1630
Algeria,1600
Canada,1560
Australia,1580
Austria,1610
Egypt,1550
DR Congo,1500
Paraguay,1520
Cape Verde,1400
United States,1620
Ecuador,1540
Ghana,1510
South Africa,1450
Bosnia and Herzegovina,1480
